	name	rating	review_count	snippet_text	categories	is_closed	street	city	state_code	postal_code	latitude	longitude	id	url	is_claimed
0	Yuzu Japanese Dining	3.5	115	"I'm usually not much of a writer on Yelp. But this one deserves a better score, so here's my input.
I've been in many japanese restaurants and I think this..."	[[Japanese, japanese]]	False	7345 Wisconsin Ave	Bethesda	MD	20814	38.9830917386	-77.0933647806	yuzu-japanese-dining-bethesda	http://www.yelp.com/biz/yuzu-japanese-dining-bethesda	True
1	Tako Grill	4.0	18	I loveeeee Tako Grill - the sushi, the sushi makers, the host, the waiters and waitresses. Everyone there is so sweet and hospitable. My mom and I have been...	[[Japanese, japanese], [Sushi Bars, sushi]]	False	7345 Wisconsin Ave	Bethesda	MD	20814	38.9825439	-77.0967636	tako-grill-bethesda-2	http://www.yelp.com/biz/tako-grill-bethesda-2	True
2	Satsuma	3.5	209	This place was good! The service was good, my water was always full and they came to take our order promptly. The sushi took time so we knew it was made...	[[Sushi Bars, sushi], [Japanese, japanese], [Korean, korean]]	False	7345 Wisconsin Ave	Bethesda	MD	20814	38.990093	-77.098846	satsuma-bethesda	http://www.yelp.com/biz/satsuma-bethesda	True
3	Maki Maki	3.5	190	Ate here twice and the Hamachi just melts in my mouth each time. All the rolls I've had have been great. I love the spicy scallop roll preferably without...	[[Japanese, japanese]]	False	7345 Wisconsin Ave	Bethesda	MD	20814	38.991135	-77.095253	maki-maki-bethesda	http://www.yelp.com/biz/maki-maki-bethesda	False
4	Aji-Nippon Restaurant	4.0	42	This is a no-frills, solid option for sushi in Bethesda. If you want fresh, high quality sushi, Aji will fulfill your needs. I have tried a variety of their...	[[Japanese, japanese], [Korean, korean]]	False	7345 Wisconsin Ave	Bethesda	MD	20814	38.9791380854	-77.0985604759	aji-nippon-restaurant-bethesda	http://www.yelp.com/biz/aji-nippon-restaurant-bethesda	True
5	Hanaro Restaurant & Lounge	3.5	190	Cool Place, met a friend here after work for happy hour (this review is for the happy hour menu items only). I enjoyed several items off of the happy hour...	[[Japanese, japanese], [Sushi Bars, sushi], [Korean, korean]]	False	7345 Wisconsin Ave	Bethesda	MD	20814	38.9886036515	-77.0968466252	hanaro-restaurant-and-lounge-bethesda	http://www.yelp.com/biz/hanaro-restaurant-and-lounge-bethesda	True
6	Matuba	3.0	148	It looks like Matuba has either closed permanently, or is reopening as a Japanese carryout.  I've been going to the sushi buffet for at least ten years, and...	[[Japanese, japanese]]	False	7345 Wisconsin Ave	Bethesda	MD	20814	38.9889523387	-77.0984365046	matuba-bethesda-3	http://www.yelp.com/biz/matuba-bethesda-3	True
7	Yirasai Sushi & Cafe	4.0	93	This is the best sushi place that I been to since moving to DC. They are always very friendly here and have great service. The sushi is very fresh and...	[[Sushi Bars, sushi]]	False	7345 Wisconsin Ave	Bethesda	MD	20816	38.9657316532	-77.1070107214	yirasai-sushi-and-cafe-bethesda	http://www.yelp.com/biz/yirasai-sushi-and-cafe-bethesda	True
8	Hinata Sushi Carry Out	4.5	84	Unbelievable selection of Japanese goods considering just how tiny this market is. Didn't expect to see every item in stock but you can get a majority of...	[[Grocery, grocery], [Sushi Bars, sushi]]	False	7345 Wisconsin Ave	Bethesda	MD	20814	38.9880266526	-77.0985424519	hinata-sushi-carry-out-bethesda	http://www.yelp.com/biz/hinata-sushi-carry-out-bethesda	False
9	Raku	3.5	316	"The first time I came here was for lunch. The service was good, no complaints, my water stayed filled and she took our order promptly. 

I got the chicken..."	[[Asian Fusion, asianfusion], [Sushi Bars, sushi]]	False	7345 Wisconsin Ave	Bethesda	MD	20814	38.9817839151	-77.0961309035	raku-bethesda	http://www.yelp.com/biz/raku-bethesda	True
