	id	posted_date	posted_days	review	review_rating
0	yuzu-japanese-dining-bethesda	2015-12-02	18.0	I'm usually not much of a writer on Yelp. But this one deserves a better score, so here's my input. I've been in many japanese restaurants and I think this one is amazing. The service was tremendously warm and I loved that. I loved the way people want to make you happy. For the food, well it's quite cheap - I mean, japanese food can really get expensive. So although I've tried better, this one is pretty good for the price. Actually, I'm going there tonight again. 	5.0
1	yuzu-japanese-dining-bethesda	2015-12-09	11.0	Looking at the menu, it seems an attempt to be small plate style. Debated between the miso cod and sushi assortment.  Coming in on an empty Wednesday night,  I made sure to ask if the fish was freshly brought in.  They said it's brought in fresh every morning. So decision made, I order Sashimi with karaage to start. Sashimi came out before the karaage.  Fine.  Sashimi was ok but not one of the better in the area. Soy sauce bottle was completely empty so had to steal a nearby bottle. Wasabi was extra chunky - -  maybe dried out? Karaage was fresh to order and dark meat.  Sounds amazing! .... but not fully crispy. Well seasoned and I wouldn't mind eating more though 	3.0
2	yuzu-japanese-dining-bethesda	2015-10-05	76.0	Came here for dinner and was totally impressed. Everything was beautifully presented and the subtle flavors were authentic. The mixed greens with ginger dressing and pine nut salad was delicious and unexpected.   Caveat based on other reviews: the restaurant was not busy, so the service timing was perfect. It was a work dinner for me so I didn't mind paying a little more, but I probably wouldn't go here all the time on my own dime. 	5.0
3	yuzu-japanese-dining-bethesda	2015-12-19	1.0	I had the spicy crunchy salmon roll and miso soup and I will definitely order it again! The sushi was fresh and flavorful with just the right amount of crunch to it. And the miso also had a very nice flavor, great for a cold day! 	4.0
4	yuzu-japanese-dining-bethesda	2015-09-06	105.0	"Came here with a Co-worker for the lunch specials, wasn't impressive by far. The Take-Out Menu I picked up the day before had so many spelling errors that should have been the first ticker.    The lack of variety for lunch was a turn off, as you are offered three Tempura Bowls, Teriyaki Chicken, Shrimp &amp; Chicken and Vegetable. I opted for the Veggie bowl, yet it still came out with Shrimp on it...there's goes my Shellfish allergen LOL. The server went back and corrected my order. I wasn't in the mood for the Miso Soup so when I inquired about the options to substitute for a salad, one would think I asked for a $100 Sushi Boat in exchange.  I offered to pay for it, yet what I got was a mini three bite seaweed salad.  &amp; please don't expect to request Brown Rice as they don't offer it.   I get the whole lunchtime aspect of price point &amp; timeframe, yet if you are going to offer ""lunch specials"", make it special. Or at least have a variety of selections &amp; or substitutions as not everyone possess the same palate of Sushi cuisine.   The plus was the convenience and hostess as she was very nice. "	3.0
5	yuzu-japanese-dining-bethesda	2015-08-28	114.0	Two and a half stars. Clean single occupancy bathrooms in back. Service is good, but it's really pricey, even for Bethesda. Miso soup was good. Decent quality fish but thin slices, crispy skin on the unagi, tamago that trends savory, a radish slice and mushroom quarter to garnish the jo-chirashi; pickled ginger was layered between the fish and the rice, kind of defeating its point as a palate cleanser. By the description, the chef's chirashi would be similar to SY's format in Vienna. $2 for quality hot green tea, so skip it unless you have multiple diners to benefit from the free pot refills. At these price points, literally every other sushi joint in Bethesda offers a better deal on chirashi. Maybe kitchen entrees are where it's at? 	2.0
6	yuzu-japanese-dining-bethesda	2015-12-09	11.0	Everything fell very true to authentic Japanese cooking... Pure, fresh, light, and well paired. 	5.0
7	yuzu-japanese-dining-bethesda	2015-06-02	201.0	How did I not know about this place sooner!? Stumbled here one night when another sushi place down the street was closed. And thank god it was closed - because this place was great!  The shrimp tempura and avocado roll was probably one of the best shrimp tempura rolls I've had. My mouth is watering now as I'm typing this. It was just sooooo good. The other rolls we got were also very good - crunchy california, jalapeño tuna, and crunchy salmon.   The seaweed salad was also great - and came with this tasty peanut sauce.   The server was very attentive and everyone else there was really nice too. So happy I found this place randomly and can't wait to go back! 	5.0
8	yuzu-japanese-dining-bethesda	2015-09-06	105.0	The rolls we ordered tonight were great. I came here about 2 months ago when I first moved to Bethesda and had an okay experience. But this time the Spicy Crunchy Tuna and the Spicy salmon Rolls were both on point. Don't be afraid that it's a little empty at night, it's probably just a location thing. Because the food was definitely worth it. I would now come back and I'm glad I didn't write it off after my first visit. Walking distance to my apt so I'll be back 	4.0
9	yuzu-japanese-dining-bethesda	2015-03-22	273.0	Authentic Japanese! A hidden gem along Wisconsin Ave. Yuzu has a tremendous selection of sushi (the Umeshiso - flavorful sour plum and shiso leaf was a revelation), but the real joy is in the hard-to-find traditional cooked dishes. We enjoyed the agedashi tofu, eggplant dengaku (superb), gomaae, kimpira gobo, and a main course of the saikyo miso black cod (delish).  The combination of flavors, all cooked to perfection, were washed down with refreshing draft Kirin Ichiban. A delightful culinary experience!   Parking is easy - stop around the corner at Waverly Garage on Montgomery Street, across from the police station. Be sure to make this your stop for Japanese food in Bethesda!  My friend is bringing her Japanese mother here next week! 	5.0
